param,type,group,default,optimal,peak_type,sensitivity,significance,opt_accuracy,opt_sharpe,opt_pnl,opt_brier,opt_trades,opt_drawdown
confidence_floor,continuous,Signals,0.6,0.8,CLEAR_PEAK,1.331829,SIGNIFICANT,0.6072727272727273,5.2004538823819315,93556.82499999397,0.32732004175471985,4950,0.9940574945059107
max_contracts,integer_log,Signals,100,30,CLEAR_PEAK,2.015021,SIGNIFICANT,0.5853539462978031,5.193828435438987,27457.20099999596,0.3200239891762378,6145,0.9996053482191118
fee_type,categorical,Fees,0,1,CLEAR_PEAK,1.0,SIGNIFICANT,0.5853539462978031,4.712649252397998,92794.28900001071,0.3200239891762378,6145,0.9930599925496979
slippage_budget,continuous,Fees,0.001,0.0,EDGE,606880000.0,SIGNIFICANT,0.5853539462978031,4.722705888687083,93054.0,0.3200239891762378,6145,0.992063492063492
position_sizing_model,categorical,Levers,0,1,CLEAR_PEAK,1.0,SIGNIFICANT,0.5853539462978031,5.075642729975758,46058.80299999769,0.3200239891762378,6145,0.998013938304537
capital_base,continuous,Levers,10000,25000,CLEAR_PEAK,1.0,SIGNIFICANT,0.5853539462978031,5.132075231216437,92534.57799999412,0.3200239891762378,6145,0.9988090093608772
