param,type,group,default,optimal,peak_type,sensitivity,significance,opt_accuracy,opt_sharpe,opt_pnl,opt_brier,opt_trades,opt_drawdown
confidence_floor,continuous,Signals,0.6,0.95,EDGE,1.600336,SIGNIFICANT,0.6195286195286195,4.778177354765255,111816.63599999553,0.3774730007562582,4752,0.6453610502303696
max_contracts,integer_log,Signals,100,10,EDGE,170650000.0,SIGNIFICANT,0.6042409123307199,5.460053583961478,19060.388999997842,0.3214840319664833,11224,0.6406179284520874
fee_type,categorical,Fees,0,1,CLEAR_PEAK,1.0,SIGNIFICANT,0.6042409123307199,4.208341354115846,202402.14649998661,0.3214840319664833,11224,0.6203829540735044
slippage_budget,continuous,Fees,0.001,0.0,EDGE,497220000.0,SIGNIFICANT,0.6042409123307199,4.215119264638432,202883.0,0.3214840319664833,11224,0.6192809521954092
position_sizing_model,categorical,Levers,0,1,CLEAR_PEAK,1.0,SIGNIFICANT,0.6042409123307199,4.8422295740336505,100341.2930000183,0.3214840319664833,11224,0.6359859895908597
capital_base,continuous,Levers,10000,25000,CLEAR_PEAK,1.0,SIGNIFICANT,0.6042409123307199,5.0008773712697705,201921.29300003027,0.3214840319664833,11224,0.6386330046122463
